name,productId,console,pc,cloud,category,storePath,newSinceDate
The Sims™ 3 Starter Pack,9N15KXND91S0,false,true,false,EA Play,-/9N15KXND91S0,
The Sims™ 4 EA Play Edition,9PLFD17M47K3,true,true,true,EA Play,-/9PLFD17M47K3,
The Sims™ Legacy Collection,9PDZ14P56XRD,false,true,false,EA Play,-/9PDZ14P56XRD,
Titanfall® 2,C0X2HNVH08FB,true,false,false,EA Play,-/C0X2HNVH08FB,
Titanfall® 2: Ultimate Edition,9NDP79SDLLLH,false,true,false,EA Play,-/9NDP79SDLLLH,
Tom Clancy's Ghost Recon Breakpoint,C3VVNLQQ54F8,true,false,true,Ubisoft+ Classics,-/C3VVNLQQ54F8,
Tom Clancy's Ghost Recon® Breakpoint,9PKJ0532DTCW,false,true,false,Ubisoft+ Classics,-/9PKJ0532DTCW,
Tom Clancy’s Rainbow Six® Extraction,BXRB4ZH2GJHK,true,true,true,Ubisoft+ Classics,-/BXRB4ZH2GJHK,
Tom Clancy's The Division,9NDJPHS21XXG,false,true,false,Ubisoft+ Classics,-/9NDJPHS21XXG,
Tom Clancy’s The Division,BRGPD72KHM3Q,true,false,true,Ubisoft+ Classics,-/BRGPD72KHM3Q,
Trackmania Turbo,9N2SB04LKPFP,false,true,false,Ubisoft+ Classics,-/9N2SB04LKPFP,
Trackmania® Turbo,C3SQQG5Q6Z64,true,false,true,Ubisoft+ Classics,-/C3SQQG5Q6Z64,
Transference™,C0RNBFHQ7X96,true,false,true,Ubisoft+ Classics,-/C0RNBFHQ7X96,
Trials Fusion,BVCRSR6XSDW5,true,true,true,Ubisoft+ Classics,-/BVCRSR6XSDW5,
Trials of the Blood Dragon,BPPR6D5C2GLF,true,false,true,Ubisoft+ Classics,-/BPPR6D5C2GLF,
TRIALS OF THE BLOOD DRAGON,9PG0ZSTFBL1T,false,true,false,Ubisoft+ Classics,-/9PG0ZSTFBL1T,
Trials Rising,9N3F9256SF8K,false,true,false,Ubisoft+ Classics,-/9N3F9256SF8K,
Trials® Rising,BP6V6QZBMFP0,true,false,true,Ubisoft+ Classics,-/BP6V6QZBMFP0,
UFC® 4,BPBV3PCB0X44,true,false,false,EA Play,-/BPBV3PCB0X44,
UFC® 5,9NH8K4B707H0,true,false,true,EA Play,-/9NH8K4B707H0,
Ultimate Sheep Raccoon,9P1H8K2V0NNP,true,true,true,Ultimate Exclusive,-/9P1H8K2V0NNP,
UNO®,9NWS5S7ZGD9T,false,true,false,Ubisoft+ Classics,-/9NWS5S7ZGD9T,
UNO™,BNSDHDK45KBR,true,false,true,Ubisoft+ Classics,-/BNSDHDK45KBR,
Unravel,C11KKHB5H7QJ,true,true,false,EA Play,-/C11KKHB5H7QJ,
Unravel Two,C4VKLMG1HLZW,true,true,true,EA Play,-/C4VKLMG1HLZW,
Valiant Hearts: The Great War,C0X15TR4NP0B,true,true,true,Ubisoft+ Classics,-/C0X15TR4NP0B,
Vampire Crawlers: The Turbo Wildcard from Vampire Survivors,9NMPVJ7TCFD0,true,true,true,Ultimate Exclusive,-/9NMPVJ7TCFD0,
Vapor World: Over The Mind (Game Preview),9N5VHX8KMVNV,true,true,true,Ultimate Exclusive,-/9N5VHX8KMVNV,2026-08-19
VOID/BREAKER (Game Preview),9N9K5QP9G3GL,false,true,false,Ultimate Exclusive,-/9N9K5QP9G3GL,
WATCH_DOGS,9P76M1N37K6K,false,true,false,Ubisoft+ Classics,-/9P76M1N37K6K,
WATCH_DOGS™,C4DMGRPNSHXG,true,false,true,Ubisoft+ Classics,-/C4DMGRPNSHXG,
Wheel Of Fortune®,BR76VBTV0NK0,true,false,false,Ubisoft+ Classics,-/BR76VBTV0NK0,
WILD HEARTS™,9NFT3TR6MN9W,false,true,false,EA Play,-/9NFT3TR6MN9W,
WILD HEARTS™ Standard Edition,9NTFPTBXDDT3,true,false,true,EA Play,-/9NTFPTBXDDT3,
Young Suns (Game Preview),9N3KQH8183GD,true,true,true,Ultimate Exclusive,-/9N3KQH8183GD,
ZOMBI,BR03N9C6Z9G6,true,true,true,Ubisoft+ Classics,-/BR03N9C6Z9G6,
Zuma,C4SG06H48738,true,false,false,EA Play,-/C4SG06H48738,
Zuma's Revenge!,BR9MPWXFBCRC,true,false,false,EA Play,-/BR9MPWXFBCRC,
